Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
176443862,"Cultures of Growth: How the New Science of Mindset Can Transform Individuals, Teams, and Organizations",Mary C. Murphy,"Murphy, Mary C.",Carol S. Dweck,1982172746,9781982172749,4,Simon & Schuster,Hardcover,352,2024,,,15/09/2026,,,read,,,,1,0
3281,The Mind & the Brain: Neuroplasticity and the Power of Mental Force,Jeffrey M. Schwartz,"Schwartz, Jeffrey M.",Sharon Begley,0060988479,9780060988470,4,Harper Perennial,Paperback,432,2003,2001,,15/09/2026,,,read,,,,1,0
41110266,How People Learn: Designing Education and Training that Works to Improve Performance,Nick Shackleton-jones,"Shackleton-jones, Nick",Dr Roger Schank,0749484705,9780749484705,4,Kogan Page,Paperback,264,2019,,,15/09/2026,,,read,,,,1,0
55935197,"Measurement Demystified: Creating Your L&D Measurement, Analytics, and Reporting Strategy",David Vance,"Vance, David",,,,5,Association for Talent Development,Kindle Edition,624,2020,,,15/09/2026,,,read,,,,1,0
318817,The Six Disciplines of Breakthrough Learning: How to Turn Learning And Development into Business Results,Roy V.H. Pollock,"Pollock, Roy V.H.","Andrew McK. Jefferson, Richard D. Flanagan, Kevin D. Wilde",0787982547,9780787982546,5,Pfeiffer & Co,Hardcover,231,2006,2006,,15/09/2026,,,read,,,,1,0
128229034,Building Expertise: Cognitive Methods for Training and Performance Improvement by Ruth C. Clark (2008-09-22),Ruth Colvin Clark,"Clark, Ruth Colvin",,,,4,Pfeiffer,Hardcover,0,1788,1998,,15/09/2026,,,read,,,,1,0
13245515,The Gamification of Learning and Instruction: Game-Based Methods and Strategies for Training and Education,Karl M. Kapp,"Kapp, Karl M.",,1118096347,9781118096345,4,Pfeiffer,Hardcover,336,2012,2012,,15/09/2026,,,read,,,,1,0
13127519,Design for How People Learn,Julie Dirksen,"Dirksen, Julie",Michael W. Allen,0321768434,9780321768438,5,New Riders Pub,Paperback,259,2011,2011,,15/09/2026,,,read,,,,1,0
102410111,Agile L&D: A Toolkit to Improve Organizational Learning and Drive Performance,Natal Dank,"Dank, Natal",,1398613258,9781398613256,5,Kogan Page,Paperback,248,2024,,,15/09/2026,,,read,,,,1,0
204919022,39 Ways to Make Training Stick: What to Do After Trainees Leave the Room (Learning and Development Training Books),Chris Fenning,"Fenning, Chris",,1916818013,9781916818019,4,Alignment Group Ltd,Paperback,180,2024,,,15/09/2026,,,read,,,,1,0
6452796,Drive: The Surprising Truth About What Motivates Us,Daniel H. Pink,"Pink, Daniel H.",,1594488843,9781594488849,4,Riverhead Books,Hardcover,242,2009,2009,,15/09/2026,,,read,,,,1,0
36647421,Learning How to Learn: How to Succeed in School Without Spending All Your Time Studying; A Guide for Kids and Teens,Barbara Oakley,"Oakley, Barbara",Terrence J.  Sejnowski,052550446X,9780525504467,5,TarcherPerigee,Kindle Edition,255,2018,2018,,15/09/2026,,,read,,,,1,0
44770129,Ultralearning: The Essential Guide To Mastering Hard Skills And Future-Proofing Your Career,Scott H. Young,"Young, Scott H.",James Clear,,,4,Harper Business,Kindle Edition,305,2019,2019,,15/09/2026,,,read,,,,1,0
61089541,The Real Work: On the Mystery of Mastery,Adam Gopnik,"Gopnik, Adam",,1324090758,9781324090755,3,Liveright,ebook,256,2023,2023,,15/09/2026,,,read,,,,1,0
61028382,The Experience Machine: How Our Minds Predict and Shape Reality,Andy  Clark,"Clark, Andy",,024139452X,9780241394526,4,Allen Lane,Hardcover,320,2023,2023,,15/09/2026,,,read,,,,1,0
3828902,Thinking In Systems: A Primer,Donella H. Meadows,"Meadows, Donella H.",Diana Wright,1603580557,9781603580557,4,Chelsea Green Publishing,Paperback,218,2008,2008,,15/09/2026,,,read,,,,1,0
